FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150822;0000;19,3792;;;
150823;0000;39,4615;;;
150824;0000;82,3174;;;
150825;0000;17,7386;;;
150826;0000;26,935;;;
150827;0000;115,011;;;
150828;0000;102,172;;;
150829;0000;52,6314;;;
150830;0000;35,5683;;;
150831;0000;53,4971;;;
150901;0000;54,7128;;;
150902;0000;51,0602;;;
150903;0000;61,511;;;
150904;0000;62,7227;;;
150905;0000;;;;
150906;0000;;;;
150907;0000;;;;
150908;0000;;;;
150909;0000;;;;
150910;0000;;;;
150911;0000;;;;
150912;0000;;;;
150913;0000;;;;
150914;0000;;;;
150915;0000;;;;
150916;0000;47,2528;;;
150917;0000;5,81906;;;
150918;0000;14,6066;;;
150919;0000;15,8677;;;
150920;0000;7,53621;;;
150921;0000;2,88621;;;
150922;0000;3,98111;;;
150923;0000;24,5419;;;
150924;0000;21,8164;;;
150925;0000;47,4992;;;
150926;0000;36,6279;;;
150927;0000;28,2657;;;
150928;0000;36,8087;;;
150929;0000;33,198;;;
150930;0000;23,8091;;;
151001;0000;4,15395;;;
151002;0000;29,0941;;;
151003;0000;26,6173;;;
151004;0000;3,02094;;;
151005;0000;8,03352;;;
151006;0000;7,6948;;;
151007;0000;14,8424;;;
151008;0000;30,3815;;;
151009;0000;28,3188;;;
151010;0000;18,5356;;;
151011;0000;10,8113;;;
151012;0000;8,27036;;;
151013;0000;14,1364;;;
151014;0000;5,32032;;;
151015;0000;20,4586;;;
151016;0000;43,0075;;;
151017;0000;33,458;;;
151018;0000;11,4685;;;
151019;0000;12,6057;;;
151020;0000;24,8117;;;
151021;0000;15,8684;;;
151022;0000;22,2485;;;
151023;0000;21,5522;;;
151024;0000;14,969;;;
151025;0000;11,2181;;;
151026;0000;15,4417;;;
151027;0000;20,164;;;
151028;0000;7,13235;;;
151029;0000;9,22649;;;
151030;0000;8,991;;;
151031;0000;14,7289;;;
151101;0000;7,61278;;;
151102;0000;3,83795;;;
151103;0000;7,62315;;;
151104;0000;8,74231;;;
151105;0000;15,4019;;;
151106;0000;9,93614;;;
151107;0000;7,67829;;;
151108;0000;3,29609;;;
151109;0000;5,75476;;;
151110;0000;7,31091;;;
151111;0000;2,0574;;;
151112;0000;9,45279;;;
151113;0000;15,4628;;;
151114;0000;13,8493;;;
151115;0000;5,35796;;;
151116;0000;6,60113;;;
151117;0000;5,51777;;;
151118;0000;4,27933;;;
151119;0000;4,66063;;;
151120;0000;14,8721;;;
151121;0000;10,0331;;;
151122;0000;2,56577;;;
151123;0000;7,53247;;;
151124;0000;6,94793;;;
151125;0000;7,68563;;;
151126;0000;10,7134;;;
151127;0000;10,0667;;;
151128;0000;12,1691;;;
151129;0000;7,2423;;;
151130;0000;9,32858;;;
151201;0000;5,11569;;;
151202;0000;5,53505;;;
151203;0000;11,5786;;;
151204;0000;13,9846;;;
151205;0000;7,3431;;;
151206;0000;3,43771;;;
151207;0000;10,4656;;;
151208;0000;4,08813;;;
151209;0000;;;;
151210;0000;12,1318;;;
151211;0000;;;;
151212;0000;;;;
151213;0000;;;;
151214;0000;;;;
151215;0000;;;;
151216;0000;;;;
151217;0000;;;;
151218;0000;;;;
151219;0000;9,10851;;;
151220;0000;6,4475;;;
151221;0000;6,05513;;;
151222;0000;12,7917;;;
151223;0000;11,3208;;;
151224;0000;16,4699;;;
151225;0000;10,6076;;;
151226;0000;6,48033;;;
151227;0000;9,46875;;;
151228;0000;11,6204;;;
151229;0000;10,7007;;;
151230;0000;9,38657;;;
151231;0000;11,0799;;;
160101;0000;7,14023;;;
160102;0000;2,84102;;;
160103;0000;4,54755;;;
160104;0000;9,87505;;;
160105;0000;8,08144;;;
160106;0000;4,80875;;;
160107;0000;4,02035;;;
160108;0000;3,70083;;;
160109;0000;6,12808;;;
160110;0000;5,98968;;;
160111;0000;5,1018;;;
160112;0000;3,12417;;;
160113;0000;14,2563;;;
160114;0000;4,89889;;;
160115;0000;7,78653;;;
160116;0000;10,3048;;;
160117;0000;9,64301;;;
160118;0000;8,83698;;;
160119;0000;4,35417;;;
160120;0000;11,2883;;;
160121;0000;4,74456;;;
160122;0000;7,17588;;;
160123;0000;2,71618;;;
160124;0000;3,21737;;;
160125;0000;23,6931;;;
160126;0000;14,9389;;;
160127;0000;11,0936;;;
160128;0000;9,84981;;;
160129;0000;15,0771;;;
160130;0000;12,6889;;;
160131;0000;7,27555;;;
160201;0000;7,86013;;;
160202;0000;7,62143;;;
160203;0000;8,89685;;;
160204;0000;3,95813;;;
160205;0000;;;;
160206;0000;;;;
160207;0000;;;;
160208;0000;;;;
160209;0000;;;;
160210;0000;12,493;;;
160211;0000;10,4218;;;
160212;0000;11,3643;;;
160213;0000;;;;
160214;0000;;;;
160215;0000;;;;
160216;0000;;;;
160217;0000;;;;
160218;0000;11,0821;;;
160219;0000;17,7285;;;
160220;0000;13,211;;;
160221;0000;;;;
160222;0000;13,8201;;;
160223;0000;12,9384;;;
160224;0000;16,6521;;;
160225;0000;11,9991;;;
160226;0000;18,5716;;;
160227;0000;22,1262;;;
160228;0000;;;;
160229;0000;17,7081;;;
160301;0000;14,0055;;;
160302;0000;14,3256;;;
160303;0000;21,4275;;;
160304;0000;22,211;;;
160305;0000;10,9479;;;
160306;0000;3,24912;;;
160307;0000;8,33961;;;
160308;0000;25,2202;;;
160309;0000;30,2874;;;
160310;0000;24,9012;;;
160311;0000;21,3494;;;
160312;0000;12,8733;;;
160313;0000;19,5757;;;
160314;0000;19,1522;;;
160315;0000;27,4248;;;
160316;0000;23,1823;;;
160317;0000;5,81735;;;
160318;0000;28,8439;;;
160319;0000;20,9321;;;
160320;0000;11,8564;;;
160321;0000;34,3481;;;
160322;0000;19,9944;;;
160323;0000;19,4199;;;
160324;0000;24,0725;;;
160325;0000;18,3147;;;
160326;0000;14,8744;;;
160327;0000;14,6085;;;
160328;0000;36,2799;;;
160329;0000;37,5833;;;
160330;0000;20,7551;;;
160331;0000;27,8972;;;
160401;0000;27,1836;;;
160402;0000;12,8767;;;
160403;0000;;;;
160404;0000;26,9946;;;
160405;0000;70,9354;;;
160406;0000;;;;
160407;0000;40,6194;;;
160408;0000;39,5482;;;
160409;0000;28,8882;;;
160410;0000;28,5487;;;
160411;0000;25,7799;;;
160412;0000;13,711;;;
160413;0000;92,3348;;;
160414;0000;35,6634;;;
160415;0000;;;;
160416;0000;;;;
