FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150420;0000;74,9309;;;
150421;0000;88,1317;;;
150422;0000;95,1368;;;
150423;0000;90,1833;;;
150424;0000;94,3885;;;
150425;0000;53,7641;;;
150426;0000;49,1187;;;
150427;0000;94,4749;;;
150428;0000;69,9395;;;
150429;0000;93,6381;;;
150430;0000;90,774;;;
150501;0000;56,1524;;;
150502;0000;20,7412;;;
150503;0000;42,9136;;;
150504;0000;88,5948;;;
150505;0000;101,235;;;
150506;0000;111,295;;;
150507;0000;92,5291;;;
150508;0000;105,415;;;
150509;0000;83,5437;;;
150510;0000;74,5999;;;
150511;0000;121,765;;;
150512;0000;112,997;;;
150513;0000;108,801;;;
150514;0000;96,8721;;;
150515;0000;105,362;;;
150516;0000;94,2036;;;
150517;0000;69,1556;;;
150518;0000;108,301;;;
150519;0000;97,3756;;;
150520;0000;44,2824;;;
150521;0000;66,8582;;;
150522;0000;74,162;;;
150523;0000;59,0246;;;
150524;0000;65,5894;;;
150525;0000;134,631;;;
150526;0000;154,144;;;
150527;0000;131,451;;;
150528;0000;111,003;;;
150529;0000;93,0624;;;
150530;0000;80,4977;;;
150531;0000;71,7172;;;
150601;0000;151,135;;;
150602;0000;142,774;;;
150603;0000;126,913;;;
150604;0000;;;;
150605;0000;;;;
150606;0000;;;;
150607;0000;;;;
150608;0000;;;;
150609;0000;;;;
150610;0000;;;;
150611;0000;;;;
150612;0000;;;;
150613;0000;;;;
150614;0000;;;;
150615;0000;;;;
150616;0000;;;;
150617;0000;;;;
150618;0000;;;;
150619;0000;;;;
150620;0000;;;;
150621;0000;;;;
150622;0000;;;;
150623;0000;;;;
150624;0000;108,716;;;
150625;0000;124,639;;;
150626;0000;136,155;;;
150627;0000;128,63;;;
150628;0000;79,2544;;;
150629;0000;77,174;;;
150630;0000;157,76;;;
150701;0000;162,873;;;
150702;0000;151,925;;;
150703;0000;122,12;;;
150704;0000;81,2515;;;
150705;0000;76,594;;;
150706;0000;114,016;;;
150707;0000;161,482;;;
150708;0000;236,847;;;
150709;0000;166,375;;;
150710;0000;178,845;;;
150711;0000;138,989;;;
150712;0000;19,1782;;;
150713;0000;33,2504;;;
150714;0000;112,173;;;
150715;0000;170,585;;;
150716;0000;154,386;;;
150717;0000;113,606;;;
150718;0000;70,5135;;;
150719;0000;60,9387;;;
150720;0000;103,596;;;
150721;0000;169,408;;;
