FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150816;0000;16,0614;;;
150817;0000;22,2169;;;
150818;0000;31,0779;;;
150819;0000;35,2445;;;
150820;0000;29,3886;;;
150821;0000;13,2586;;;
150822;0000;13,6193;;;
150823;0000;25,5499;;;
150824;0000;33,8519;;;
150825;0000;18,2091;;;
150826;0000;18,2371;;;
150827;0000;42,0095;;;
150828;0000;42,5747;;;
150829;0000;26,4093;;;
150830;0000;20,8746;;;
150831;0000;24,7875;;;
150901;0000;27,8596;;;
150902;0000;28,0289;;;
150903;0000;34,3937;;;
150904;0000;32,0739;;;
150905;0000;;;;
150906;0000;;;;
150907;0000;;;;
150908;0000;;;14,6111;
150909;0000;;;15,9132;
150910;0000;;;17,3297;
150911;0000;;;19,4039;
150912;0000;;;20,6435;
150913;0000;;;17,1412;
150914;0000;;;29,809;
150915;0000;;;22,0463;
150916;0000;24,5987;;;
150917;0000;12,8226;;;
150918;0000;11,5339;;;
150919;0000;16,9233;;;
150920;0000;15,8794;;;
150921;0000;10,5831;;;
150922;0000;12,8355;;;
150923;0000;16,7572;;;
150924;0000;13,9043;;;
150925;0000;23,0187;;;
150926;0000;19,7746;;;
150927;0000;23,7814;;;
150928;0000;23,1097;;;
150929;0000;18,8975;;;
150930;0000;15,8939;;;
151001;0000;9,89558;;;
151002;0000;16,322;;;
151003;0000;18,3393;;;
151004;0000;8,1702;;;
151005;0000;13,9398;;;
151006;0000;13,1481;;;
151007;0000;11,9175;;;
151008;0000;19,9371;;;
151009;0000;19,4098;;;
151010;0000;15,7386;;;
151011;0000;12,9199;;;
151012;0000;14,8237;;;
151013;0000;15,265;;;
151014;0000;10,799;;;
151015;0000;12,3479;;;
151016;0000;21,0902;;;
151017;0000;19,4735;;;
151018;0000;14,096;;;
151019;0000;13,6685;;;
151020;0000;15,1918;;;
151021;0000;12,7525;;;
151022;0000;17,8575;;;
151023;0000;17,6302;;;
151024;0000;12,969;;;
151025;0000;7,8596;;;
151026;0000;12,6023;;;
151027;0000;17,7481;;;
151028;0000;12,3551;;;
151029;0000;15,5135;;;
151030;0000;16,1256;;;
151031;0000;15,0782;;;
151101;0000;11,7422;;;
151102;0000;10,2967;;;
151103;0000;11,6501;;;
151104;0000;14,2587;;;
151105;0000;16,6209;;;
151106;0000;16,7673;;;
151107;0000;11,8057;;;
151108;0000;9,94035;;;
151109;0000;9,14317;;;
151110;0000;10,6304;;;
151111;0000;6,13687;;;
151112;0000;11,7572;;;
151113;0000;17,2959;;;
151114;0000;15,0826;;;
151115;0000;7,90539;;;
